iter	F1	Logloss
0	0.8949237159	0.5063796884
1	0.9038120283	0.3926956239
2	0.9143085397	0.3222645264
3	0.9192386505	0.2717104575
4	0.9205643111	0.2366484032
5	0.9250478258	0.2135975636
6	0.9266708254	0.1946251168
7	0.9280309544	0.1809936253
8	0.92887517	0.1705483386
9	0.9309654504	0.1622355999
10	0.9324347601	0.1555680644
11	0.9328624952	0.1504706414
12	0.9332527937	0.1459087282
13	0.9344283497	0.1413164134
14	0.9352325456	0.1369892549
15	0.9357556381	0.1352495554
16	0.9365847337	0.1317157293
17	0.9372731985	0.1281346369
18	0.9373191067	0.12565716
19	0.9384183232	0.1229197213
20	0.9390586506	0.1211591527
21	0.9399935128	0.1188061663
22	0.9406291921	0.1172363725
23	0.9418023746	0.1154459448
24	0.9422177978	0.1140040979
25	0.9431112458	0.1126046716
26	0.9435284954	0.1115343813
27	0.9444071758	0.1104513392
28	0.9448474481	0.1093012046
29	0.9457001819	0.1078717684
30	0.9460618664	0.1070704219
31	0.9462803649	0.1062888631
32	0.9468550869	0.1054962685
33	0.9474186137	0.1046897378
34	0.9473136464	0.1042330026
35	0.9474368701	0.1033470596
36	0.9482721242	0.102661293
37	0.9484120097	0.1019393675
38	0.9485126603	0.101634547
39	0.9487841385	0.1010467404
40	0.9489738361	0.1004034459
41	0.9494607556	0.09979406168
42	0.9497286738	0.09919712568
43	0.9499446242	0.09885765921
44	0.9501965639	0.09842574243
45	0.9504300982	0.09810054439
46	0.9504051441	0.09786631882
47	0.9507363482	0.09739644082
48	0.9513344481	0.09653840277
49	0.9517130574	0.09548473033
50	0.952217615	0.09482627351
51	0.9523230569	0.09444070056
52	0.9528420687	0.09337711353
53	0.9529166486	0.09287656409
54	0.953798032	0.091703319
55	0.9541376089	0.09105332343
56	0.954392369	0.09055912275
57	0.9547192769	0.09009739161
58	0.9548516056	0.08948515812
59	0.9550876736	0.08897918908
60	0.9551953414	0.08876559494
61	0.9553088405	0.08846523058
62	0.9555280367	0.08804599045
63	0.9561495002	0.08693755831
64	0.9564366767	0.08639671359
65	0.9570885388	0.0858179163
66	0.9573399978	0.08555034858
67	0.9574856547	0.08441946671
68	0.957546247	0.08421423868
69	0.9577672963	0.08388611106
70	0.9579638324	0.08357150956
71	0.9580434783	0.08329227491
72	0.9581041418	0.08285771385
73	0.9580570112	0.08271429499
74	0.9583614185	0.08248382389
75	0.9588344025	0.08198471681
76	0.9588671612	0.08177181154
77	0.9589821662	0.08138976897
78	0.9590829001	0.08123543554
79	0.9595753013	0.08066396234
80	0.95966584	0.08023168367
81	0.9597302295	0.08011001711
82	0.9597284773	0.07990873802
83	0.9600818388	0.07920439892
84	0.9601096821	0.07912475633
85	0.9600191525	0.07870824986
86	0.9603255784	0.07854065664
87	0.9605815902	0.07830414477
88	0.9606285503	0.07794697651
89	0.9607817533	0.07773394705
90	0.9606981198	0.07757540496
91	0.9609157382	0.07742342306
92	0.9610236992	0.07723206047
93	0.9613961788	0.07688220213
94	0.9613718962	0.07663701633
95	0.9618181027	0.07625965802
96	0.9617310288	0.07614948364
97	0.962229237	0.07566581364
98	0.962453475	0.0753917715
99	0.9624518404	0.07533812
100	0.9626727609	0.07506754128
101	0.9629355562	0.07488571485
102	0.9628904124	0.0746683247
103	0.9630597096	0.07444922649
104	0.9632112848	0.07427177087
105	0.9634048111	0.07393682412
106	0.963680282	0.07345461137
107	0.9638994669	0.07315195729
108	0.9639476948	0.07289121129
109	0.9639927768	0.0726627701
110	0.9639927768	0.07251002881
111	0.9643377793	0.07213106053
112	0.9643828463	0.07190116869
113	0.9646229494	0.07139334118
114	0.9644698766	0.07124546746
115	0.9647550257	0.07090379317
116	0.964825651	0.07070876843
117	0.9654107205	0.07029856475
118	0.9654527259	0.07007135739
119	0.9655967795	0.0698292683
120	0.9659644847	0.06926181201
121	0.9661610776	0.06898994905
122	0.9663547334	0.06867786266
123	0.9665542378	0.06839154246
124	0.9667464635	0.06828778618
125	0.9667464635	0.06806208325
126	0.9669851357	0.06768831684
127	0.967027227	0.06747776907
128	0.9673993471	0.06719396989
129	0.9677040261	0.06687244927
130	0.9680297721	0.06651327005
131	0.9684723916	0.06613976699
132	0.9689684458	0.06551440092
133	0.9691399699	0.06518188197
134	0.9692086582	0.06503628088
135	0.9692324442	0.06489053272
136	0.9694633211	0.06453437241
137	0.9694646513	0.06441112375
138	0.969634922	0.06416211336
139	0.969966242	0.06371046166
140	0.9700969182	0.06338885426
141	0.9703595618	0.06315277879
142	0.9706382052	0.06283053722
143	0.9705933606	0.06273234412
144	0.9707240568	0.06250124089
145	0.9708348762	0.0624416439
146	0.970848403	0.06221151824
147	0.9712131448	0.06196876573
148	0.9711483983	0.06174147003
149	0.9713028131	0.06147660599
150	0.9713227283	0.06131296347
151	0.9718245408	0.06074434591
152	0.9719516182	0.0605999888
153	0.9720351359	0.06033647331
154	0.9719279892	0.06026236058
155	0.9720387926	0.06001707896
156	0.9721695543	0.05985013117
157	0.972300316	0.05968421141
158	0.9723911007	0.05929929501
159	0.9724994552	0.05919262948
160	0.9728233628	0.05894075483
161	0.9729317409	0.05867470821
162	0.9729977117	0.05859321627
163	0.9730848861	0.05835435904
164	0.9731909329	0.05816050483
165	0.9732156478	0.0581461729
166	0.9731956067	0.05810679273
167	0.9734312678	0.05790193484
168	0.9735184499	0.05778238037
169	0.9734135286	0.05754346358
170	0.973457113	0.0574876813
171	0.9737599163	0.05714463167
172	0.973949818	0.05690774681
173	0.9739911487	0.05678787556
174	0.9741409384	0.05670953797
175	0.9741443209	0.05650291773
176	0.9742080363	0.05643699179
177	0.9743824536	0.05623647841
178	0.974468549	0.05604165613
179	0.9748195949	0.05559737418
180	0.9749525865	0.05543077486
181	0.975059952	0.05526346534
182	0.9750174398	0.05523648909
183	0.9750386955	0.05522215423
184	0.9750812095	0.05519795487
185	0.975082296	0.05516116627
186	0.9750397838	0.05514633627
187	0.9753438992	0.05492577194
188	0.9754321714	0.05486681642
189	0.9755831698	0.05460847163
190	0.9758479379	0.05435709293
191	0.9759149066	0.05426824971
192	0.9761105541	0.05409996876
193	0.9762200571	0.05392282043
194	0.9762626153	0.05390106469
195	0.9762382281	0.05384084325
196	0.9763020777	0.05370361897
197	0.9762807935	0.05366393103
198	0.9764541728	0.05344158906
199	0.976456226	0.05328689192
200	0.9765829409	0.05309738015
201	0.9767137624	0.05294123054
202	0.9766711725	0.05293421645
203	0.9769287801	0.0526823512
204	0.9769947011	0.05252022937
205	0.9769530994	0.05239214758
206	0.9772157419	0.05211519618
207	0.9772806559	0.05200093922
208	0.9774104923	0.05181085608
209	0.9775180444	0.05168923054
210	0.9774734501	0.05145695676
211	0.9778223608	0.05104848745
212	0.9778872994	0.05094759553
213	0.9778872994	0.05077145765
214	0.9780840439	0.05062172984
215	0.9781926029	0.05055303472
216	0.9781703195	0.05046842227
217	0.9783030594	0.05022078072
218	0.9783893408	0.05012399393
219	0.9784988443	0.05002416468
220	0.9784979065	0.04982471888
221	0.9786519549	0.04959682224
222	0.9786723657	0.04954385297
223	0.9786287509	0.04934506227
224	0.9787141237	0.0492016417
225	0.9788672497	0.04914961594
226	0.9787790888	0.04909153944
227	0.9791030451	0.04875862309
228	0.9791902975	0.04858316898
229	0.9792134709	0.04843652107
